->;section;tareador_instrumented_section;;;;0
    us;46;loads;[0,4);stores;
    us;48;loads;[0,8);stores;
    us;49;loads;[0,8);stores;
    us;50;loads;[0,8);stores;
    us;51;loads;[0,8);stores;
    us;52;loads;[0,4);stores;
    us;53;loads;[0,8);stores;
    us;54;loads;[0,4);stores;
    us;55;loads;[0,4);stores;
    us;56;loads;;stores;[0,16)
    us;57;loads;;stores;[0,16)
    us;58;loads;;stores;[0,4)
    us;59;loads;;stores;[0,8)
    us;60;loads;;stores;[0,8)
    <-;section;row;;;;1673
  us;47;loads;[0,4);stores;
  us;55;loads;[0,4);stores;[0,4)
    ->;section;row;;;;1682
    us;4;loads;[0,8);stores;
    us;7;loads;[0,4);stores;
    us;9;loads;[0,4);stores;
    us;36;loads;[8,16);stores;
    us;38;loads;;stores;[12,16)
    us;45;loads;[12,16);stores;[12,16)
    us;46;loads;[0,4);stores;
    us;48;loads;[0,8);stores;
    us;49;loads;[0,8);stores;
    us;50;loads;[0,8);stores;
    us;51;loads;[0,8);stores;
    us;52;loads;[0,4);stores;
    us;53;loads;[0,8);stores;
    us;54;loads;[0,4);stores;
    us;55;loads;[0,4);stores;
    us;56;loads;;stores;[0,16)
    us;57;loads;;stores;[0,16)
    us;58;loads;;stores;[0,4)
    us;59;loads;;stores;[0,8)
    us;60;loads;;stores;[0,8)
    <-;section;row;;;;1944
  us;47;loads;[0,4);stores;
  us;55;loads;[0,4);stores;[0,4)
    ->;section;row;;;;1953
    us;4;loads;[0,8);stores;
    us;7;loads;[0,4);stores;
    us;9;loads;[0,4);stores;
    us;36;loads;[8,16);stores;
    us;38;loads;;stores;[16,20)
    us;45;loads;[3996,4000);stores;[3996,4000)
    us;46;loads;[0,4);stores;
    us;48;loads;[0,8);stores;
    us;49;loads;[0,8);stores;
    us;50;loads;[0,8);stores;
    us;51;loads;[0,8);stores;
    us;52;loads;[0,4);stores;
    us;53;loads;[0,8);stores;
    us;54;loads;[0,4);stores;
    us;55;loads;[0,4);stores;
    us;56;loads;;stores;[0,16)
    us;57;loads;;stores;[0,16)
    us;58;loads;;stores;[0,4)
    us;59;loads;;stores;[0,8)
    us;60;loads;;stores;[0,8)
    <-;section;row;;;;56003
  us;47;loads;[0,4);stores;
  us;55;loads;[0,4);stores;[0,4)
    ->;section;row;;;;56012
    us;4;loads;[0,8);stores;
    us;7;loads;[0,4);stores;
    us;9;loads;[0,4);stores;
    us;36;loads;[8,16);stores;
    us;38;loads;;stores;[20,24)
    us;45;loads;[4,8);stores;[4,8)
    us;46;loads;[0,4);stores;
    us;48;loads;[0,8);stores;
    us;49;loads;[0,8);stores;
    us;50;loads;[0,8);stores;
    us;51;loads;[0,8);stores;
    us;52;loads;[0,4);stores;
    us;53;loads;[0,8);stores;
    us;54;loads;[0,4);stores;
    us;55;loads;[0,4);stores;
    us;56;loads;;stores;[0,16)
    us;57;loads;;stores;[0,16)
    us;58;loads;;stores;[0,4)
    us;59;loads;;stores;[0,8)
    us;60;loads;;stores;[0,8)
    <-;section;row;;;;56166
  us;47;loads;[0,4);stores;
  us;55;loads;[0,4);stores;[0,4)
    ->;section;row;;;;56175
    us;4;loads;[0,8);stores;
    us;7;loads;[0,4);stores;
    us;9;loads;[0,4);stores;
    us;36;loads;[8,16);stores;
    us;38;loads;;stores;[24,28)
    us;45;loads;[4,8);stores;[4,8)
    us;46;loads;[0,4);stores;
    us;48;loads;[0,8);stores;
    us;49;loads;[0,8);stores;
    us;50;loads;[0,8);stores;
    us;51;loads;[0,8);stores;
    us;52;loads;[0,4);stores;
    us;53;loads;[0,8);stores;
    us;54;loads;[0,4);stores;
    us;55;loads;[0,4);stores;
    us;56;loads;;stores;[0,16)
    us;57;loads;;stores;[0,16)
    us;58;loads;;stores;[0,4)
    us;59;loads;;stores;[0,8)
    us;60;loads;;stores;[0,8)
    <-;section;row;;;;56329
  us;47;loads;[0,4);stores;
  us;55;loads;[0,4);stores;[0,4)
    ->;section;row;;;;56338
    us;4;loads;[0,8);stores;
    us;7;loads;[0,4);stores;
    us;9;loads;[0,4);stores;
    us;36;loads;[8,16);stores;
    us;38;loads;;stores;[28,32)
    us;45;loads;[4,8);stores;[4,8)
    us;46;loads;[0,4);stores;
    us;48;loads;[0,8);stores;
    us;49;loads;[0,8);stores;
    us;50;loads;[0,8);stores;
    us;51;loads;[0,8);stores;
